Date,Open,High,Low,Close,Volume
07/03/2025,"179.82","180.77","178.19","180.55","13,287,390"
07/02/2025,"176.55","179.94","176.09","179.76","19,325,859"
07/01/2025,"176.81","177.22","174.66","176.91","25,778,461"
06/30/2025,"180.79","181.58","175.50","177.39","43,964,602"
06/27/2025,"174.63","178.84","172.71","178.27","74,053,109"
06/26/2025,"173.39","174.65","170.86","174.43","25,909,119"
06/25/2025,"168.65","173.36","168.56","171.49","23,627,359"
06/24/2025,"167.69","169.25","166.91","167.74","27,310,270"
06/23/2025,"167.32","168.48","163.33","166.01","36,975,594"
06/20/2025,"174.87","175.37","166.27","167.73","55,402,578"
06/18/2025,"177.28","177.82","172.84","173.98","32,531,760"
06/17/2025,"177.00","178.72","175.94","177.23","17,656,119"
06/16/2025,"175.91","178.25","175.82","177.94","18,132,529"
06/13/2025,"173.58","178.34","173.57","175.88","20,873,240"
06/12/2025,"177.48","178.13","176.11","176.97","17,345,920"
06/11/2025,"181.23","181.75","178.00","178.79","18,994,400"
06/10/2025,"177.76","182.45","176.48","180.01","32,908,000"
06/09/2025,"175.87","177.92","175.66","177.63","18,817,590"
06/06/2025,"172.30","175.83","172.30","174.92","22,258,119"
06/05/2025,"171.62","172.36","169.35","169.81","25,422,881"
06/04/2025,"168.28","169.58","167.80","169.39","18,508,740"
06/03/2025,"168.87","169.80","166.68","167.71","25,386,711"
